"cvegeo","fecha","J029","J189","J209","J441","J459","nomgeo","POB","IM","GM","num_establecimientos","densidad_industrial","clasif_industrial","cases","PM10","PM25","NO2","TMP","RH","E","SIR","tasa","idarea","idarea1","idtime","RR","Predicted_Mean","Predicted_Mode","Lower_CI","Median","Upper_CI","Exc_Prob","NO2_std","TMP_std","PM10_std","PM25_std","RH_std","IM_std","superficie_km2","dens_industrial_km2","dens_industrial_km2_std","dens_industrial_pob","dens_industrial_pob_std","RR_corrected"
"09007",2020,9,252,2,0,16,"Iztapalapa",1856787,59.5445475,"Muy bajo",190,1.023272998,"Alta",279,39.58021545,20.94928741,20.07082176,18.08900833,51.96276855,138.690795508769,2.01166918811393,15.0259561274395,6,6,3,339.644495660254,342.728307987975,334.021220605036,260.558313697165,339.7489599033,441.957651935356,0.999999805290528,0.0728524237521362,0.979814809620671,-0.36553687969554,-0.149995890039435,-0.744425119190039,0.818527302478033,112.528063993133,1.68846768759476,0.621903176410562,10.2327299792599,-0.370787248276142,2.44893321445243
"09007",2021,9,223,0,0,21,"Iztapalapa",1839491,59.5445475,"Muy bajo",190,1.032894426,"Alta",253,41.45227814,21.46437073,23.33724213,16.73323059,53.85527039,138.690795508769,1.82420180857643,13.7538047209799,6,6,4,221.581618378205,223.707310211724,217.279581616838,169.086955386285,221.507727864913,290.928312886417,0.998978533765068,0.79306834375045,0.133064344496621,-0.010618945669722,0.0747682183342084,-0.191634874382268,0.818527302478033,112.528063993133,1.68846768759476,0.621903176410562,10.3289442568624,-0.366313659759242,1.59766635965539
"09007",2022,11,232,0,2,51,"Iztapalapa",1827243,59.5445475,"Muy bajo",189,1.034345186,"Alta",296,40.19529343,21.41227341,23.07847595,17.2187233,51.81798553,138.690795508769,2.13424401319614,16.1992685154629,6,6,5,374.192002233344,377.535591628095,367.860994357583,287.858051469102,374.224628251687,486.17528673333,0.999999804688291,0.736012759568813,0.436278629462559,-0.248926358534855,0.0520347940050029,-0.78671550928541,0.818527302478033,112.528063993133,1.67958101555479,0.612660275511702,10.3434518561571,-0.365639112995188,2.69803054240672
"09008",2018,0,71,0,0,8,"La Magdalena Contreras",251447,51.26123816,"Muy bajo",6,0.238618874,"Baja",79,32.76738358,20.74637413,18.53370667,12.56119728,60.61403275,138.764899538978,0.569308234737052,31.418151737742,7,7,1,62.0173671284881,62.6560220347221,60.8047008189321,46.8048650313342,62.0243805187402,82.1208426723879,0,-0.266067443652328,-2.47257745174318,-1.6571582688092,-0.238540055003603,1.78256553092986,-1.0669765765407,63.0747671208505,0.0951252025790928,-1.03530962729153,2.38618873957534,-0.735620801693866,0.446924022822268
"09008",2019,0,84,0,0,19,"La Magdalena Contreras",251857,51.26123816,"Muy bajo",10,0.397050707,"Baja",103,35.80886459,20.3938942,16.54668808,14.17137051,53.29370499,138.764899538978,0.742262635163498,40.896222856621,7,7,2,77.7264281135194,78.5271691989153,76.2008000446789,58.6612244058905,77.733549961559,102.933138310937,9.84156495631439e-07,-0.704186932189134,-1.46694438136042,-1.0805343329687,-0.392349805989239,-0.355665296113099,-1.0669765765407,63.0747671208505,0.158542004298488,-0.969350715903947,3.97050707345835,-0.661956180577489,0.560130323819292
"09008",2020,2,40,0,1,7,"La Magdalena Contreras",250655,59.68334053,"Muy bajo",10,0.398954739,"Baja",50,32.76738358,17.42416191,13.33546066,13.68105221,51.91999435,138.764899538978,0.360321667555096,19.9477369292454,7,7,3,45.775794974532,46.2677841224415,44.8504340799666,34.3315794229839,45.7842184333023,60.9700192503781,0,-1.41223330976518,-1.77317248670152,-1.6571582688092,-1.68823574201658,-0.75691924732756,0.850120327162267,63.0747671208505,0.158542004298488,-0.969350715903947,3.98954738584908,-0.661070880339397,0.329880215577671
"09008",2021,0,10,0,0,7,"La Magdalena Contreras",249106,59.68334053,"Muy bajo",10,0.401435533,"Baja",17,31.65333366,16.67123222,15.50088692,13.48162937,63.51977539,138.764899538978,0.122509366968733,6.82440406895057,7,7,4,34.4488935644356,34.8398337564058,33.6547442312825,25.6821504761389,34.4348194228382,46.3166230594283,0,-0.934776556079063,-1.89772194458416,-1.86836716588306,-2.01678757794264,2.6313183043031,0.850120327162267,63.0747671208505,0.158542004298488,-0.969350715903947,4.0143553346768,-0.659917407510114,0.248253655491309
"09008",2022,0,30,0,1,5,"La Magdalena Contreras",248214,59.68334053,"Muy bajo",10,0.402878162,"Baja",36,32.9623909,17.94189835,17.01885986,12.84553337,58.80459213,138.764899538978,0.259431600639669,14.5036138171094,7,7,5,51.8626113711181,52.4458831857675,50.7334205159666,38.6686372479088,51.8611003731191,69.5698501821059,0,-0.600077358279655,-2.29499545629085,-1.62018750094762,-1.4623139060908,1.25403704966036,0.850120327162267,63.0747671208505,0.158542004298488,-0.969350715903947,4.02878161586373,-0.659246641720799,0.373744452260064
"09009",2018,1,32,0,0,6,"Milpa Alta",150455,48.71630699,"Muy bajo",24,1.595161344,"Baja",39,41.67939758,22.3577652,18.32122993,11.00301647,63.01984787,137.951973890216,0.282707082038832,25.9213718387558,8,8,1,51.4578006043037,52.2818406224478,49.828886569762,36.3027342153396,51.4406523961833,73.0791459087314,0,-0.312916628216207,-3.44573867624807,0.0324398487031853,0.464613906747287,2.48529199652052,-1.64627132407583,296.728865923057,0.0808819186678767,-1.0501238638329,15.9516134392343,-0.104881480301333,0.373012427102019
"09009",2019,2,55,0,0,0,"Milpa Alta",153300,48.71630699,"Muy bajo",27,1.761252446,"Baja",57,44.42394257,21.85368347,11.48258877,13.94696522,53.96018982,137.951973890216,0.413187273749062,37.1819960861057,8,8,2,60.7958929429585,61.4758437782391,59.4801294502706,45.3656607758579,60.7950939648002,81.4808422475691,0,-1.8207746736238,-1.60709661876461,0.552768704619709,0.244650502397688,-0.160988437919734,-1.64627132407583,296.728865923057,0.0909921585013612,-1.03960834751539,17.6125244618395,-0.0276555979949924,0.440703320355103
"09009",2020,1,30,0,0,3,"Milpa Alta",155354,57.28130276,"Muy bajo",23,1.48048972,"Baja",34,41.67939758,19.05052948,10.62488174,12.94927502,51.89752579,137.951973890216,0.246462584341546,21.8855002124181,8,8,3,36.7805885457062,37.221427621056,35.9138347391113,27.177563974312,36.7751111059274,49.8193824003702,0,-2.00989125622106,-2.23020364875591,0.0324398487031853,-0.978546566372411,-0.763482200409221,0.303351958750168,296.728865923057,0.0775118387233818,-1.05362903593873,14.8048972025181,-0.158199311256847,0.266618791369936
"09009",2021,1,18,0,0,5,"Milpa Alta",155661,57.28130276,"Muy bajo",23,1.477569847,"Baja",24,37.21216583,17.64217567,10.32209396,13.61957073,61.98459625,137.951973890216,0.173973588946974,15.4181201457012,8,8,4,28.3127561249849,28.6794805274465,27.567374975666,20.6944979592327,28.299369045237,38.8406033459875,0,-2.07665320197054,-1.81157072134617,-0.814487271843477,-1.59310226268048,2.1829002184193,0.303351958750168,296.728865923057,0.0775118387233818,-1.05362903593873,14.7756984729637,-0.159556938258761,0.205236324835168
"09009",2022,2,38,1,0,22,"Milpa Alta",156382,57.28130276,"Muy bajo",23,1.470757504,"Baja",63,37.8997612,19.35511208,10.31062889,14.13882828,57.40914536,137.951973890216,0.456680670985806,40.2859664155721,8,8,5,43.7087030426519,44.2350992406599,42.6920423280062,32.2587365292312,43.7088426212122,59.2219522105808,0,-2.07918114540787,-1.48726861856812,-0.684128427842309,-0.845637512910679,0.84643408447407,0.303351958750168,296.728865923057,0.0775118387233818,-1.05362903593873,14.7075750406057,-0.162724412071615,0.316839997356152
"09010",2018,6,260,2,3,31,"Alvaro Obregon ",771674,51.69528888,"Muy bajo",80,1.036707211,"Media",302,32.35082245,21.19214058,22.83045959,14.97833729,57.22568512,136.631635316038,2.21032266284052,39.1356971985579,9,9,1,256.806279027128,259.124969437871,252.474791565974,197.239954593316,256.849463978668,334.0403735613,0.999994516937585,0.681327412718605,-0.962953589842736,-1.73613266237241,-0.0440233723877993,0.792846273440771,-0.968174964448439,95.3583269302683,0.838940893525752,-0.261677531101487,10.3670721055783,-0.364540863554355,1.87955211421658
"09010",2019,1,310,3,3,11,"Alvaro Obregon ",772456,51.69528888,"Muy bajo",76,0.98387481,"Media",328,35.92234421,20.80763054,20.50641441,15.87278461,54.14687729,136.631635316038,2.40061534242282,42.4619654711725,9,9,2,296.380617493743,299.022932646396,291.394297762397,228.05258275443,296.413040077031,384.937559923006,0.999999805415197,0.168896632894836,-0.404326860775064,-1.05902012166606,-0.211809928359586,-0.106457969276256,-0.968174964448439,95.3583269302683,0.796993848849464,-0.305306054265057,9.83874809697899,-0.389105868634341,2.16919468765923
"09010",2020,0,148,0,3,4,"Alvaro Obregon ",768303,60.48705208,"Muy bajo",96,1.24950703,"Media",155,32.35082245,17.22091484,16.40783501,15.73688316,51.72721863,136.631635316038,1.13443712827908,20.1743322621414,9,9,3,176.044295316366,177.690136424922,173.002246538627,134.560601646095,176.086215956342,230.003105179079,0.927560133871471,-0.734802768556405,-0.489204059008554,-1.73613266237241,-1.77692556110857,-0.813228063096951,1.03306668144356,95.3583269302683,1.0067290722309,-0.0871634384472035,12.495070304294,-0.265597249955863,1.28845925695879
"09010",2021,4,84,1,1,4,"Alvaro Obregon ",766404,60.48705208,"Muy bajo",97,1.265651014,"Media",94,31.08184814,16.61930847,18.55686951,15.18335915,56.28174973,136.631635316038,0.687981226182149,12.2650716854296,9,9,4,126.730229924389,128.0014915616,124.124669864272,96.1530321824706,126.673743080398,167.45846143645,0.17746540754448,-0.260960248548603,-0.834907266176442,-1.97671314231191,-2.03944526247447,0.517127505674174,1.03306668144356,95.3583269302683,1.01721583339997,-0.0762563076563107,12.6565101434752,-0.258090927310952,0.927532116784326
"09010",2022,4,194,2,1,16,"Alvaro Obregon ",766558,60.48705208,"Muy bajo",96,1.25235142,"Media",217,32.30834198,17.78572655,19.25331497,15.12183857,55.66633987,136.631635316038,1.58821197959071,28.3083602284498,9,9,5,196.395099247758,198.178397378336,192.984768940367,150.793061136007,196.401329049282,255.741168167241,0.988776621648213,-0.107400372327726,-0.873329920711028,-1.74418638874032,-1.5304617455124,0.337369388679944,1.03306668144356,95.3583269302683,1.0067290722309,-0.0871634384472035,12.5235142024478,-0.264274719669012,1.43740575741103
"09011",2018,14,158,4,0,4,"Tlahuac",389329,50.894937,"Muy bajo",55,1.412686956,"Media",180,45.98307037,23.39868164,22.01725578,16.06231689,57.17710495,135.684035576446,1.32661148553903,46.2333912963072,10,10,1,138.426335451589,139.846322200235,135.706825463525,104.548315141469,138.430946455854,183.247976368192,0.384731277142492,0.502023384509497,-0.285954548329498,0.848358387921511,0.91883295528504,0.77865625074198,-1.15035656752255,85.3832829859956,0.644154195956848,-0.464272398330462,14.1268695627605,-0.18972495109891,1.02021092506198
"09011",2019,9,178,3,0,3,"Tlahuac",395118,50.894937,"Muy bajo",65,1.645078179,"Media",193,47.20114136,23.38722992,16.96613884,17.11925316,51.70641327,135.684035576446,1.42242231505019,48.8461674740204,10,10,2,142.003245163375,143.342235480725,139.487792576949,108.450119020633,142.025175444887,185.773067953812,0.453315904327495,-0.611701862667175,0.374154591852268,1.07928828229785,0.913835830479786,-0.81930520384505,-1.15035656752255,85.3832829859956,0.761273140676275,-0.342458653595473,16.4507817917685,-0.0816720994740615,1.04657297787527
"09011",2020,4,74,0,0,2,"Tlahuac",398696,59.3251048,"Muy bajo",62,1.555069527,"Media",80,45.98307037,20.60957146,14.94913197,17.14874458,51.63427734,135.684035576446,0.589605104684015,20.0654132471858,10,10,3,91.3637365451798,92.2854330496576,89.6549812479602,69.1169132920163,91.3864083332736,120.599392918596,0.000687184986828515,-1.05643349361765,0.392573446849967,0.848358387921511,-0.298235892457014,-0.84037574526346,0.768576244864585,85.3832829859956,0.726137457260447,-0.379002777015969,15.550695266569,-0.123522611099634,0.673356568125544
